Incident_case_id,Date,Offense,Street_Number,Street_Address,Zip Codes,Precinent
PP21061600001886,6/16/2021,ACCIDENT WITH IMPOUND,7700 BLOCK,7755 LANDOVER RD EB,31451,
PP21061600000397,6/16/2021,THEFT,8200 BLOCK,8230 14TH AVE,10889,
PP21061600001897,6/16/2021,THEFT,3300 BLOCK,3321 26TH AVE,15817,
PP21061600001215,6/16/2021,THEFT FROM AUTO,5800 BLOCK,5815 EASTERN AVE,8789,
PP21061600000396,6/16/2021,THEFT FROM AUTO,2100 BLOCK,2110 BROOKS DR NB,15814,
PP21061600000344,6/16/2021,"AUTO, STOLEN",4500 BLOCK,4508 SAINT BARNABAS RD NB,15817,
PP21061600000684,6/16/2021,THEFT,,SUITLAND RD / JOHN ST,15577,
PP21061600001944,6/16/2021,THEFT,5600 BLOCK,5612 KAVEH CT,17002,
PP21061600001708,6/16/2021,ASSAULT,5000 BLOCK,5001 SILVER CT,15577,
PP21061600001512,6/16/2021,THEFT,13700 BLOCK,13710 CENTRAL AVE WB,17158,
PP21061600001306,6/16/2021,"ASSAULT, SHOOTING",700 BLOCK,705 NEW ORCHARD PL,8340,
PP21061600001639,6/16/2021,THEFT,1600 BLOCK,1603 BRIGHTSEAT RD NB,31451,
PP21061600001153,6/16/2021,ACCIDENT WITH IMPOUND,1900 BLOCK,1900 PALMER RD,15572,
PP21061600002208,6/16/2021,THEFT,800 BLOCK,803 BRODERICK DR,15574,
PP21061600001299,6/16/2021,THEFT FROM AUTO,12700 BLOCK,12700 CRAIN HWY SE,9221,
PP21061600001989,6/16/2021,ACCIDENT WITH IMPOUND,,BRANCH AVE SB / COLEBROOKE DR,15817,
PP21061600002281,6/16/2021,ACCIDENT WITH IMPOUND,,BRANCH AVE NB / COLEBROOKE DR,15817,
PP21061600001837,6/16/2021,"B & E, RESIDENTIAL",9600 BLOCK,9614 UNDERWOOD ST,15994,
PP21061600000102,6/16/2021,THEFT,5600 BLOCK,5612 KAVEH CT,17002,
PP21061600000437,6/16/2021,"AUTO, STOLEN",6200 BLOCK,6211 67TH CT,15302,
PP21061600000461,6/16/2021,THEFT,12600 BLOCK,12675 LAUREL BOWIE RD NB,15999,
PP21061600001839,6/16/2021,"AUTO, STOLEN",4600 BLOCK,4601 SILVER HILL RD NB,15577,
PP21061600001643,6/16/2021,THEFT FROM AUTO,5200 BLOCK,5211 BOYDELL AVE,15574,
PP21061600002027,6/16/2021,"B & E, RESIDENTIAL",12400 BLOCK,12418 PERSIMMON RD,17002,
PP21061600001912,6/16/2021,THEFT FROM AUTO,6800 BLOCK,6851 NEW HAMPSHIRE AVE NB,2327,
PP21061600001703,6/16/2021,THEFT FROM AUTO,4000 BLOCK,4006 23RD PKWY NB,15817,
PP21061600001101,6/16/2021,"ROBBERY, OTHER",8200 BLOCK,8211 GREY EAGLE DR,17002,
PP21061600000473,6/16/2021,THEFT FROM AUTO,10100 BLOCK,10100 AEROSPACE RD,15994,
PP21061600000567,6/16/2021,"AUTO, STOLEN",8500 BLOCK,8536 EDGEWORTH DR,15568,
PP21061600001618,6/16/2021,"AUTO, STOLEN",3100 BLOCK,3101 75TH AVE,31451,
PP21061600001319,6/16/2021,ACCIDENT WITH IMPOUND,,MARCY AVE / DEAL DR,15574,
PP21061600000426,6/16/2021,THEFT,6200 BLOCK,6235 OXON HILL RD SB,15574,
PP21061600001385,6/16/2021,THEFT FROM AUTO,2800 BLOCK,2800 METZEROTT RD,10889,
PP21061600000872,6/16/2021,ACCIDENT WITH IMPOUND,,SILVER HILL RD NB / NAVY DAY DR,15577,
PP21061600000479,6/16/2021,ACCIDENT WITH IMPOUND,,HASTINGS DR / HILL RD,31451,
PP21061600002301,6/16/2021,ACCIDENT WITH IMPOUND,4700 BLOCK,4701 SAINT BARNABAS RD SB,15817,
PP21061600000871,6/16/2021,THEFT,5800 BLOCK,5870 SILVER HILL RD SB,15814,
PP21061600000636,6/16/2021,THEFT FROM AUTO,11100 BLOCK,11108 FORT WASHINGTON RD,15572,
PP21061600000314,6/16/2021,THEFT FROM AUTO,2100 BLOCK,2130 BROOKS DR NB,15814,
PP21061600000738,6/16/2021,ACCIDENT WITH IMPOUND,,CENTRAL AVE WB / BRIGHTSEAT RD EB,15568,
PP21061600001523,6/16/2021,ACCIDENT WITH IMPOUND,,ANNAPOLIS RD EB / MORLEY RD,15994,
PP21061600001921,6/16/2021,THEFT,6700 BLOCK,6707 GROVETON DR,15298,
PP21061600001223,6/16/2021,"ASSAULT, SHOOTING",6200 BLOCK,6205 HALSTED AVE,15568,
PP21061600000415,6/16/2021,ACCIDENT WITH IMPOUND,,VETERANS PKWY NB / JOHN HANSON HWY EB,10891,
PP21061700000432,6/17/2021,THEFT FROM AUTO,6200 BLOCK,6219 FERNWOOD TER,15302,
PP21061700001420,6/17/2021,THEFT FROM AUTO,6800 BLOCK,6837 RIVERDALE RD EB,15302,
PP21061700001466,6/17/2021,THEFT,3400 BLOCK,3403 GENNENE LN,15572,
PP21061700001310,6/17/2021,THEFT,14100 BLOCK,14108 VINTAGE LN,8834,
PP21061700000402,6/17/2021,THEFT FROM AUTO,6200 BLOCK,6200 FERNWOOD TER,15302,
PP21061700002255,6/17/2021,"ROBBERY, OTHER",9000 BLOCK,9019 WOODYARD RD SB,15298,
PP21061700002099,6/17/2021,ASSAULT,7900 BLOCK,7961 18TH AVE,10889,
PP21061700000553,6/17/2021,ACCIDENT WITH IMPOUND,,CARTER AVE / WASHINGTON BLVD,15994,
PP21061700001843,6/17/2021,"AUTO, STOLEN",6400 BLOCK,6415 HIL MAR DR,15814,
PP21061700000591,6/17/2021,ACCIDENT WITH IMPOUND,15800 BLOCK,15800 COMMERCE CT,8340,
PP21061700001499,6/17/2021,THEFT FROM AUTO,10400 BLOCK,10401 BLACKSTONE AVE,10069,
PP21061700000060,6/17/2021,ACCIDENT WITH IMPOUND,4400 BLOCK,4427 23RD PKWY SB,15817,
PP21061700000582,6/17/2021,"AUTO, STOLEN",,PEABODY ST / BERKSHIRE DR,10889,
PP21061700001001,6/17/2021,THEFT FROM AUTO,9500 BLOCK,9560 MARLBORO PIKE,17002,
PP21061700001678,6/17/2021,ACCIDENT WITH IMPOUND,,LAUREL BOWIE RD NB / MUIRKIRK RD,15999,
PP21061700002173,6/17/2021,"AUTO, STOLEN",13200 BLOCK,13200 LAUREL BOWIE RD SB,15999,
PP21061700002318,6/17/2021,ACCIDENT WITH IMPOUND,,AGER RD SB / PATTERSON RD,8789,
PP21061700002374,6/17/2021,"AUTO, STOLEN",4900 BLOCK,4949 MARLBORO PIKE EB,15568,
PP21061700000959,6/17/2021,THEFT,,HIL MAR DR / REGENCY PKWY,15814,
PP21061700001676,6/17/2021,THEFT,900 BLOCK,919 WESTHAVEN DR,17158,
PP21061700001311,6/17/2021,THEFT,7100 BLOCK,7103 COLLEGE HEIGHTS DR,8789,
PP21061700000446,6/17/2021,THEFT FROM AUTO,5800 BLOCK,5806 CARTERS LN,15302,
PP21061700000710,6/17/2021,"AUTO, STOLEN",3500 BLOCK,3500 BROWN STATION RD,8340,
PP21061700001816,6/17/2021,THEFT,8900 BLOCK,8903 WOODYARD RD SB,15298,
PP21061700001826,6/17/2021,ASSAULT,900 BLOCK,900 EAST SWAN CREEK RD,15572,
PP21061700000423,6/17/2021,THEFT,1500 BLOCK,1535 UNIVERSITY BLVD EB,10889,
PP21061700001280,6/17/2021,THEFT FROM AUTO,6500 BLOCK,6510 MARTIN LUTHER KING JUNIOR HWY WB,31451,
PP21061700001715,6/17/2021,"ASSAULT, WEAPON",20 BLOCK,20 AUDREY LN,15574,
PP21061700001626,6/17/2021,THEFT,7000 BLOCK,7027 SAND CHERRY WAY,15298,
PP21061700001474,6/17/2021,ASSAULT,5600 BLOCK,5607 REGENCY PARK CT,15577,
PP21061700001833,6/17/2021,THEFT,5600 BLOCK,5604 SILVER HILL RD SB,15814,
PP21061700001359,6/17/2021,THEFT FROM AUTO,6700 BLOCK,6701 NEW HAMPSHIRE AVE NB,2327,
PP21061700000447,6/17/2021,THEFT FROM AUTO,9200 BLOCK,9206 50TH PL,15305,
PP21061700001481,6/17/2021,ACCIDENT WITH IMPOUND,,FORBES BLVD / ANNAPOLIS RD EB,15994,
PP21061700000952,6/17/2021,THEFT FROM AUTO,2100 BLOCK,2104 QUEENS CHAPEL RD SB,8789,
PP21061700002478,6/17/2021,"AUTO, STOLEN",9100 BLOCK,9111 ANNAPOLIS RD EB,15994,
PP21061700001043,6/17/2021,THEFT,6900 BLOCK,6951 MAYFAIR TER,15996,
PP21061700001316,6/17/2021,ACCIDENT WITH IMPOUND,,ROSARYVILLE RD / BROOKWOOD AVE,17002,
PP21061700000257,6/17/2021,ACCIDENT WITH IMPOUND,,BRANCH AVE NB / COLEBROOKE DR,15817,
PP21061700002485,6/17/2021,"AUTO, STOLEN",14600 BLOCK,14601 GOVERNOR SPRIGG PL,17002,
PP21061700001577,6/17/2021,ACCIDENT WITH IMPOUND,6200 BLOCK,6282 CARTER AVE,15994,
PP21061700001436,6/17/2021,ACCIDENT WITH IMPOUND,,STAMP RD / SAINT BARNABAS RD SB,15817,
PP21061700002433,6/17/2021,ACCIDENT WITH IMPOUND,5900 BLOCK,5903 ARBROATH DR,15298,
PP21061700001194,6/17/2021,THEFT,10600 BLOCK,10621 GREENBELT RD EB,15994,
PP21061700002470,6/17/2021,ACCIDENT WITH IMPOUND,,SARGENT RD NB / CHILLUM RD EB,8789,
PP21061700000603,6/17/2021,THEFT,11700 BLOCK,11729 BELTSVILLE DR,15750,
PP21061700001018,6/17/2021,"B & E, OTHER",1400 BLOCK,1423 EASTERN AVE,15568,
PP21061700000410,6/17/2021,ACCIDENT WITH IMPOUND,7500 BLOCK,7520 SURRATTS RD,15298,
PP21061700001764,6/17/2021,THEFT,4500 BLOCK,4500 COLLEGE AVE,15305,
PP21061700001978,6/17/2021,THEFT FROM AUTO,8700 BLOCK,8704 CHERRY LN WB,15996,
PP21061700001636,6/17/2021,"AUTO, STOLEN",2200 BLOCK,2235 AFTON ST,15817,
PP21061700000593,6/17/2021,THEFT FROM AUTO,8100 BLOCK,8113 MURRAY HILL DR,15572,
PP21061700002570,6/17/2021,THEFT,6300 BLOCK,6300 ANNAPOLIS RD WB,10891,
PP21061700001369,6/17/2021,ACCIDENT WITH IMPOUND,4700 BLOCK,4725 SILVER HILL RD NB,15577,
PP21061800001582,6/18/2021,ACCIDENT WITH IMPOUND,9000 BLOCK,9030 LANHAM SEVERN RD WB,15994,
PP21061800001631,6/18/2021,THEFT,6800 BLOCK,6800 OXON HILL RD,15574,
PP21061800000734,6/18/2021,THEFT FROM AUTO,7900 BLOCK,7901 NEW HAMPSHIRE AVE NB,10889,
PP21061800001280,6/18/2021,"AUTO, STOLEN",2200 BLOCK,2217 SNETTERTON LN,8340,
PP21061800002555,6/18/2021,THEFT,7400 BLOCK,7408 ANNAPOLIS RD WB,10891,
PP21061800001176,6/18/2021,THEFT FROM AUTO,6100 BLOCK,6119 CRAIN HWY SW,17002,
PP21061800001788,6/18/2021,ASSAULT,1300 BLOCK,1316 DUNWOODY AVE,15574,
PP21061800001477,6/18/2021,ACCIDENT WITH IMPOUND,,HOLLAWAY DR / ROSARYVILLE RD,17002,
PP21061800000913,6/18/2021,ACCIDENT WITH IMPOUND,6600 BLOCK,6624 23RD AVE,8789,
PP21061800001576,6/18/2021,ACCIDENT WITH IMPOUND,,HASTINGS DR / HILL RD,31451,
PP21061800000863,6/18/2021,ACCIDENT WITH IMPOUND,7600 BLOCK,7622 OXMAN RD,31451,
PP21061800001763,6/18/2021,THEFT FROM AUTO,8600 BLOCK,8601 BALTIMORE AVE NB,15305,
PP21061800000580,6/18/2021,ACCIDENT WITH IMPOUND,,SAINT BARNABAS RD SB / CAP BELT IL A HWY SB,15574,
PP21061800001383,6/18/2021,ACCIDENT WITH IMPOUND,,ENTERPRISE RD / EDMOND WOODS WAY,17158,
PP21061800001429,6/18/2021,"ROBBERY, COMMERCIAL",2400 BLOCK,2441 CHILLUM RD EB,8789,
PP21061800000453,6/18/2021,"B & E, RESIDENTIAL",5000 BLOCK,5000 MANHEIM AVE,15750,
PP21061800002524,6/18/2021,ACCIDENT WITH IMPOUND,,INDIAN HEAD HWY SB / BERRY RD SB,8834,
PP21061800001131,6/18/2021,THEFT,200 BLOCK,251 MARINER PASSAGE,15574,
PP21061800000960,6/18/2021,"AUTO, STOLEN",4700 BLOCK,4783 MARLBORO PIKE EB,15568,
PP21061800002537,6/18/2021,"AUTO, STOLEN",5800 BLOCK,5852 SILVER HILL RD SB,15814,
PP21061800001335,6/18/2021,ACCIDENT WITH IMPOUND,11900 BLOCK,11902 BERRYBROOK TER,17002,
PP21061800000677,6/18/2021,THEFT FROM AUTO,4900 BLOCK,4900 PHILADELPHIA WAY,15994,
PP21061800000470,6/18/2021,THEFT FROM AUTO,1500 BLOCK,1501 RAY RD,8789,
PP21061800000448,6/18/2021,"AUTO, STOLEN",5900 BLOCK,5921 MARLBORO PIKE EB,15814,
PP21061800002402,6/18/2021,ACCIDENT WITH IMPOUND,,QUEENS CHAPEL RD NB / EASTERN AVE,16003,
PP21061800001837,6/18/2021,THEFT,3600 BLOCK,3613 SILVER PARK DR,15577,
PP21061800000282,6/18/2021,"AUTO, STOLEN",4500 BLOCK,4501 SILVER HILL RD NB,15577,
PP21061800000534,6/18/2021,ACCIDENT WITH IMPOUND,,PISCATAWAY RD / STEED RD,15298,
PP21061800001797,6/18/2021,ACCIDENT WITH IMPOUND,,ENTERPRISE RD NB / CENTRAL AVE WB,17158,
PP21061800002573,6/18/2021,"AUTO, STOLEN",7500 BLOCK,7545 LANDOVER RD EB,31451,
PP21061800001107,6/18/2021,THEFT,4900 BLOCK,4919 INDIAN HEAD HWY SB,15574,
PP21061800000493,6/18/2021,ASSAULT,1500 BLOCK,1575 CABIN BRANCH DR,31451,
PP21061800000058,6/18/2021,"AUTO, STOLEN",3100 BLOCK,3173 BRANCH AVE SB,15817,
PP21061800001971,6/18/2021,HOMICIDE,3300 BLOCK,3320 CURTIS DR,15814,
PP21061800000535,6/18/2021,THEFT FROM AUTO,3700 BLOCK,3730 BRANCH AVE NB,15577,
PP21061800000031,6/18/2021,ACCIDENT WITH IMPOUND,,SUITLAND RD / EASTERN LN,15577,
PP21061800001507,6/18/2021,ACCIDENT WITH IMPOUND,,GREENBELT RD EB / EXECUTIVE PL,15994,
PP21061900001241,6/19/2021,THEFT FROM AUTO,9600 BLOCK,9624 UTICA PL,8340,
PP21061900002600,6/19/2021,ACCIDENT WITH IMPOUND,2400 BLOCK,2412 KENT VILLAGE PL,31451,
PP21061900002480,6/19/2021,"AUTO, STOLEN",9000 BLOCK,9025 2ND ST,15994,
PP21061900002024,6/19/2021,THEFT,5900 BLOCK,5931 FISHER RD,15817,
PP21061900002527,6/19/2021,"AUTO, STOLEN",3300 BLOCK,3396 CURTIS DR,15577,
PP21061900000447,6/19/2021,ACCIDENT WITH IMPOUND,12100 BLOCK,12164 CENTRAL AVE WB,17158,
PP21061900001983,6/19/2021,THEFT FROM AUTO,6500 BLOCK,6504 OLD BRANCH AVE NB,15817,
PP21061900000525,6/19/2021,THEFT,10400 BLOCK,10410 THORNEY BROOK CT,17002,
PP21061900002447,6/19/2021,ACCIDENT WITH IMPOUND,,PISCATAWAY RD / LIVINGSTON RD,15298,
PP21061900001960,6/19/2021,ACCIDENT WITH IMPOUND,,BELTSVILLE DR NB / POWDER MILL RD,15750,
PP21061900001057,6/19/2021,"AUTO, STOLEN",9000 BLOCK,9045 CONTEE RD EB,15999,
PP21061900001230,6/19/2021,"AUTO, STOLEN",1800 BLOCK,1836 METZEROTT RD,10889,
PP21061900000051,6/19/2021,"AUTO, STOLEN",10400 BLOCK,10440 CAMPUS WAY S,8340,
PP21061900000609,6/19/2021,"AUTO, STOLEN & RECOVERED",8500 BLOCK,8545 DELANO RD,15298,
PP21061900001671,6/19/2021,"AUTO, STOLEN",6000 BLOCK,6000 PEMBERTON LN,31451,
PP21061900001224,6/19/2021,ACCIDENT WITH IMPOUND,800 BLOCK,805 ACCOKEEK RD,8828,
PP21061900000879,6/19/2021,THEFT FROM AUTO,2200 BLOCK,2252 HANNON ST,10889,
PP21061900000811,6/19/2021,"AUTO, STOLEN",900 BLOCK,901 HARRY S TRUMAN DR N,8340,
PP21061900000271,6/19/2021,"AUTO, STOLEN",9100 BLOCK,9150 BALTIMORE AVE SB,15305,
PP21061900000519,6/19/2021,"ASSAULT, WEAPON",,4400 BK BRANCH AVE NB,15817,
PP21061900002200,6/19/2021,"AUTO, STOLEN",3700 BLOCK,3730 BRANCH AVE NB,15577,
PP21061900002039,6/19/2021,THEFT FROM AUTO,16200 BLOCK,16211 DORSET RD,15996,
PP21061900001035,6/19/2021,ACCIDENT WITH IMPOUND,1700 BLOCK,1701 EAST WEST HWY EB,10889,
PP21061900000005,6/19/2021,"ROBBERY, VEHICLE",4400 BLOCK,4407 ROMLON ST,15750,
PP21061900001444,6/19/2021,THEFT FROM AUTO,6400 BLOCK,6400 CLIPPER WAY,15574,
PP21061900001298,6/19/2021,ACCIDENT WITH IMPOUND,,SHERIFF RD / CLAYBRICK RD,15568,
PP21061900001036,6/19/2021,ACCIDENT WITH IMPOUND,7600 BLOCK,7628 ALLENDALE CIR,31451,
PP21061900002195,6/19/2021,THEFT FROM AUTO,3900 BLOCK,3920 SUITLAND RD,15577,
PP21062000000538,6/20/2021,ACCIDENT WITH IMPOUND,7100 BLOCK,7100 WOODYARD RD,17002,
PP21062000002316,6/20/2021,"AUTO, STOLEN",3200 BLOCK,3216 BRANCH AVE NB,15577,
PP21062000000787,6/20/2021,"B & E, COMMERCIAL",5700 BLOCK,5744 SILVER HILL RD SB,15814,
PP21062000000987,6/20/2021,THEFT FROM AUTO,7700 BLOCK,7715 FINNS LN,10891,
PP21062000002320,6/20/2021,ACCIDENT WITH IMPOUND,,LOTTSFORD RD EB / MCCORMICK DR,8340,
PP21062000001428,6/20/2021,"AUTO, STOLEN",11400 BLOCK,11412 LIVINGSTON RD,15572,
PP21062000002141,6/20/2021,ACCIDENT WITH IMPOUND,,RITCHIE MARLBORO RD SB / SANSBURY RD,8340,
PP21062000000477,6/20/2021,"B & E, COMMERCIAL",5700 BLOCK,5741 SILVER HILL RD NB,15814,
PP21062000000502,6/20/2021,ACCIDENT WITH IMPOUND,,SELLMAN RD / CHERRY HILL RD NB,15305,
PP21062000000171,6/20/2021,"AUTO, STOLEN",5800 BLOCK,5848 SILVER HILL RD SB,15814,
PP21062000000546,6/20/2021,THEFT FROM AUTO,3500 BLOCK,3518 TERRACE DR,15577,
PP21062000000111,6/20/2021,ACCIDENT WITH IMPOUND,,WOODYARD RD / ROSARYVILLE RD,17002,
PP21062000000243,6/20/2021,"AUTO, STOLEN",2000 BLOCK,2045 UNIVERSITY BLVD EB,10889,
PP21062000002177,6/20/2021,"ROBBERY, VEHICLE",11900 BLOCK,11908 TWINLAKES DR,15750,
PP21062000001175,6/20/2021,"ASSAULT, SHOOTING",,WALKER MILL RD EB / ADDISON RD S,15814,
PP21062000002093,6/20/2021,"ASSAULT, WEAPON",1400 BLOCK,1423 KANAWHA ST,10889,
PP21062000001529,6/20/2021,ACCIDENT WITH IMPOUND,,GREENBELT RD WB / FORBES BLVD,15994,
PP21062000000174,6/20/2021,THEFT,8100 BLOCK,8147 BALTIMORE AVE NB,15305,
PP21062000000946,6/20/2021,"B & E, COMMERCIAL",4200 BLOCK,4237 BRANCH AVE SB,15817,
PP21062000001562,6/20/2021,ASSAULT,13700 BLOCK,13710 CENTRAL AVE WB,17158,
PP21062000000984,6/20/2021,"ROBBERY, OTHER",3300 BLOCK,3317 DONNELL DR SB,15814,
PP21062000000420,6/20/2021,ACCIDENT WITH IMPOUND,,BERRY RD / LIVINGSTON RD,8834,
PP21062000002173,6/20/2021,THEFT FROM AUTO,13700 BLOCK,13700 BRANDYWINE RD,9221,
PP21062000002267,6/20/2021,ACCIDENT WITH IMPOUND,,MARLBORO PIKE / WOODYARD RD NB,17002,
PP21062000000369,6/20/2021,ASSAULT,6800 BLOCK,6847 NEW HAMPSHIRE AVE NB,2327,
PP21062000000275,6/20/2021,"ROBBERY, VEHICLE",5600 BLOCK,5604 SILVER HILL RD SB,15814,
PP21062000002152,6/20/2021,THEFT FROM AUTO,4300 BLOCK,4301 WEST VILLAGE AVE,15577,
PP21062000001995,6/20/2021,"ROBBERY, OTHER",11500 BLOCK,11502 TRILLUM ST,17158,
PP21062000002313,6/20/2021,SEX OFFENSE,11700 BLOCK,11710 SOUTH LAUREL DR,15999,
PP21062000000521,6/20/2021,"ASSAULT, WEAPON",10700 BLOCK,10715 SIR BRENDAN AVE,15298,
PP21062000000397,6/20/2021,ACCIDENT WITH IMPOUND,,RIGGS RD / SARANAC ST,10889,
PP21062000001460,6/20/2021,THEFT FROM AUTO,8800 BLOCK,8855 ANNAPOLIS RD EB,15994,
PP21062000000924,6/20/2021,THEFT FROM AUTO,2200 BLOCK,2263 HANNON ST,10889,
PP21062000000191,6/20/2021,"ROBBERY, OTHER",7300 BLOCK,7314 24TH AVE,10889,
PP21062000000290,6/20/2021,ACCIDENT WITH IMPOUND,3100 BLOCK,3101 WALTERS LN,15814,
PP21062000000797,6/20/2021,"B & E, COMMERCIAL",5600 BLOCK,5688 SILVER HILL RD SB,15814,
PP21062000001654,6/20/2021,THEFT,100 BLOCK,150 HAMPTON PARK BLVD,15568,
PP21062000000567,6/20/2021,"B & E, COMMERCIAL",6300 BLOCK,6307 ALLENTOWN RD SB,15817,
PP21062000000664,6/20/2021,"AUTO, STOLEN",6300 BLOCK,6333 MARLBORO PIKE EB,15814,
PP21062000000473,6/20/2021,"ROBBERY, OTHER",6500 BLOCK,6510 MARTIN LUTHER KING JUNIOR HWY WB,31451,
PP21062000000897,6/20/2021,THEFT FROM AUTO,2900 BLOCK,2921 SUNSET LN,15577,
PP21062000001472,6/20/2021,"AUTO, STOLEN",9900 BLOCK,9913 GREENBELT RD EB,15994,
PP21062000001045,6/20/2021,"B & E, OTHER",5100 BLOCK,5108 SUNNYSIDE AVE WB,15750,
PP21062000002329,6/20/2021,ASSAULT,,NEW HAMPSHIRE AVE NB / METZEROTT RD,32845,
PP21062000000004,6/20/2021,"ROBBERY, VEHICLE",4600 BLOCK,4600 PISTACHIO LN,15568,
PP21062000001815,6/20/2021,ACCIDENT WITH IMPOUND,,RIGGS RD / METZEROTT RD,10889,
PP21062000000867,6/20/2021,ACCIDENT WITH IMPOUND,900 BLOCK,990 EAST SWAN CREEK RD,15572,
PP21062000000973,6/20/2021,"AUTO, STOLEN",1300 BLOCK,1314 SOUTHVIEW DR,15574,
PP21062000000806,6/20/2021,"B & E, OTHER",15400 BLOCK,15400 DEPOT LN,17002,
PP21062000000223,6/20/2021,ACCIDENT WITH IMPOUND,,WOODYARD RD NB / BRANCH AVE NB,15298,
PP21062100000401,6/21/2021,"AUTO, STOLEN",16600 BLOCK,16612 VILLAGE DR W,17002,
PP21062100001778,6/21/2021,"ROBBERY, OTHER",2600 BLOCK,2641 SHADYSIDE AVE,15577,
PP21062100001343,6/21/2021,THEFT,4000 BLOCK,4019 BRANCH AVE SB,15817,
PP21062100001685,6/21/2021,ACCIDENT WITH IMPOUND,,VIRGINIA AVE / FOREST TER,31451,
PP21062100001664,6/21/2021,ASSAULT,4500 BLOCK,4547 DALLAS PL,15817,
PP21062100002005,6/21/2021,"ROBBERY, COMMERCIAL",5700 BLOCK,5700 CRAIN HWY SE,17002,
PP21062100002157,6/21/2021,THEFT FROM AUTO,4900 BLOCK,4900 EDMONSTON RD,8347,
PP21062100001232,6/21/2021,THEFT,900 BLOCK,918 ABEL AVE,15568,
PP21062100001297,6/21/2021,THEFT,8200 BLOCK,8201 OXON HILL RD,15572,
PP21062100001888,6/21/2021,"ROBBERY, OTHER",4800 BLOCK,4829 MARLBORO PIKE EB,15568,
PP21062100000391,6/21/2021,THEFT FROM AUTO,8700 BLOCK,8730 CHERRY LN WB,15996,
PP21062100000902,6/21/2021,THEFT FROM AUTO,14300 BLOCK,14300 CHERRY LANE CT,15996,
PP21062100001203,6/21/2021,"AUTO, STOLEN",2000 BLOCK,2012 UNIVERSITY BLVD WB,10889,
PP21062100000651,6/21/2021,THEFT,10100 BLOCK,10101 OKLAHOMA CT,8340,
PP21062100000712,6/21/2021,"AUTO, STOLEN",4600 BLOCK,4635 DALLAS PL,15817,
PP21062100000953,6/21/2021,ACCIDENT WITH IMPOUND,2300 BLOCK,2308 HENSON VALLEY WAY,15572,
PP21062100001025,6/21/2021,THEFT,2800 BLOCK,2801 TOLES PARK DR,15577,
PP21062100000075,6/21/2021,"ASSAULT, SHOOTING",2800 BLOCK,2800 SAINT CLAIR DR,15817,
PP21062100000229,6/21/2021,ACCIDENT WITH IMPOUND,,AVALON PL / 20TH AVE,10889,
PP21062100001801,6/21/2021,THEFT,4300 BLOCK,4313 SAINT BARNABAS RD SB,15817,
PP21062100000062,6/21/2021,"ROBBERY, OTHER",6800 BLOCK,6807 3RD ST,15302,
PP21062100000904,6/21/2021,"AUTO, STOLEN",4400 BLOCK,4400 BRANCH AVE NB,15577,
PP21062100000068,6/21/2021,"ROBBERY, OTHER",4900 BLOCK,4902 IVERSON PL,15817,
PP21062100001977,6/21/2021,"AUTO, STOLEN",13200 BLOCK,13210 LAUREL BOWIE RD SB,15999,
PP21062100000432,6/21/2021,THEFT FROM AUTO,6200 BLOCK,6231 SLIGO PKWY,8789,
PP21062100000357,6/21/2021,"AUTO, STOLEN",4300 BLOCK,4307 LORI ST,15577,
PP21062100000291,6/21/2021,THEFT,16100 BLOCK,16111 BRANDYWINE RD,9221,
PP21062100000682,6/21/2021,THEFT FROM AUTO,4500 BLOCK,4515 SAINT BARNABAS RD SB,15817,
PP21062100001176,6/21/2021,THEFT,6100 BLOCK,6183 OXON HILL RD SB,15574,
PP21062100001844,6/21/2021,ACCIDENT WITH IMPOUND,,GLACIER AVE / MARLBORO PIKE EB,15568,
PP21062100001709,6/21/2021,"ASSAULT, SHOOTING",6700 BLOCK,6701 WALKER MILL RD EB,15814,
PP21062100001832,6/21/2021,ASSAULT,12400 BLOCK,12401 BRICKYARD BLVD,15750,
PP21062100001027,6/21/2021,ACCIDENT WITH IMPOUND,,VETERANS PKWY NB / JOHN HANSON HWY EB,10891,
PP21062100001606,6/21/2021,"AUTO, STOLEN",3200 BLOCK,3209 75TH AVE,31451,
PP21062100001246,6/21/2021,ASSAULT,5700 BLOCK,5701 ALLENTOWN RD SB,15577,
PP21062100001242,6/21/2021,THEFT FROM AUTO,4800 BLOCK,4805 KING CT,16440,
PP21062100000900,6/21/2021,THEFT,11800 BLOCK,11880 BALTIMORE AVE SB,15750,
PP21062100000936,6/21/2021,"B & E, RESIDENTIAL",2400 BLOCK,2405 DAREL DR,15577,
PP21062100002057,6/21/2021,ACCIDENT WITH IMPOUND,,GLENRIDGE DR / GALLATIN ST,10891,
PP21062100001098,6/21/2021,THEFT,9100 BLOCK,9119 RHODE ISLAND AVE,15305,
PP21062100000151,6/21/2021,"ROBBERY, VEHICLE",2000 BLOCK,2006 AVALON PL,10889,
PP21062100001937,6/21/2021,THEFT FROM AUTO,6700 BLOCK,6707 GROVETON DR,15298,
PP21062100000004,6/21/2021,"ASSAULT, SHOOTING",,AVEBURY DR / BARNET LN,15999,
PP21062100000393,6/21/2021,"AUTO, STOLEN",5300 BLOCK,5310 CHESAPEAKE RD,8347,
PP21062100000366,6/21/2021,THEFT,6100 BLOCK,6170 OXON HILL RD NB,15574,
PP21062100002102,6/21/2021,"AUTO, STOLEN",4400 BLOCK,4417 23RD PKWY SB,15817,
