Title,Company_name,Company,Salary,Salary1,Schedule,jobsnippet,date,Place
Intermediate Information Security Analyst,"Data Systems Analysts, Inc.","Remote in Washington, DC 20015",,"$75,000 - $90,000 a year",Full-time,"Working closely with senior agency security officials, system owners, information system security officers (ISSOs) and other stakeholders to advise and…","Posted
Posted 30+ days ago",Good compensation and benefits
"2025322 Cyber Security SME $215,000.00",B4CORP,"Herndon, VA",,"Up to $2,000 a week",Full-time,"Cloud security controls and implementation.
 Self-starter able to work independently and build relationships with technical reps across divisions, comfortable…","Posted
Posted 30 days ago",Supportive management
Cyber Support Technician,Lawrence Livermore National Laboratory,"Livermore, CA 94550",,$36.50 - $45.32 an hour,Full-time,"Plan, design, and evaluate complex cyber security solutions.
 We're looking for a Cyber Support Technician to provide basic cyber and technical support for…","Posted
Posted 30+ days ago",
Linux Administrator - ACAS,CACI,"Springfield, VA 22150",,,Full-time,"Minimum Clearance Required to Start: TS/SCI with Polygraph.
 Percentage of Travel Required: Up to 10%.
 Provide all preventative and corrective maintenance to…","Posted
Posted 30+ days ago",Good compensation and benefits
Cybersecurity Analyst,CloudWave,Remote,,Estimated $55.7K - $70.6K a year,Full-time,"Regularly provide high-level proactive technical guidance, including security configurations, security policy modification recommendations, and diagnostics of…","Posted
Posted 27 days ago",
Cloud Security Architect,Idea Evolver,Remote,,"$120,000 - $160,000 a year",Full-time,"Oversee internal security team and company security posture.
 Conduct architecture reviews and white box security testing to assess and validate application…","Employer
Active 4 days ago",
IT Audit SOC - Senior Auditor,Plante Moran,"Hybrid remote in Chicago, IL",,"$6,917 - $10,875 a month",Full-time,Participate in service organization control (SOC) assessments for companies in a variety of industries using commonly implemented frameworks which evaluate the…,"Posted
Posted 30+ days ago",Salary meets cost of living
IT Security Engineer,CR&R Inc,"Stanton, CA 90680",,"From $125,000 a year",Full-time,"He/She will devise and manage a security roadmap that maintains and strengthens the company's security posture.
 Maintenance of MS Intune and Cortex XDR.","Employer
Active 4 days ago",
IT Cyber Security Specialist,"Esolvit Inc.,","Woburn, MA 01801",,"$90,000 - $93,000 a year",Full-time,"Maintain security logs for each system.
 Troubleshoot security issues as they arise.
 3-5 years of experience in security.
 Job Types: Full-time, Contract.","Posted
Posted 20 days ago",Job satisfaction
Special Agent: Cybersecurity/Technology Background,Federal Bureau of Investigation,"San Diego, CA",,"$78,000 - $153,000 a year",Full-time,"You will be prompted to either Sign In to continue or to register with FBIJobs if you don’t already have an account.
 Adhere to strict standards of conduct.","Posted
Posted 2 days ago",
Cyber Security Instructor (virtual),Cyber Arts Camp,Remote,,$60 - $90 an hour,Full-time,"Job Types: Part-time, Contract.","Employer
Active 4 days ago",
Cybersecurity Analyst,DAS Health,Remote,,Estimated $87.3K - $111K a year,Full-time,"Analyze security incidents and develop incident response plans.
 Monitor network activity to identify and mitigate security threats.","Posted
Posted 10 days ago",
Information Technology CyberSecurity Specialist,U.S. Department of State,"Hybrid remote in Washington, DC 20520",,"$94,199 - $122,459 a year",Full-time,"Experience identifying cyber security programmatic problems, trends and weaknesses and recommending solutions to reduce program vulnerabilities.","Posted
Posted 4 days ago",
SOC Analyst (Tier 1) - REMOTE,Binary Defense,Remote in Ohio,,Estimated $64K - $81K a year,Full-time,"Our expert security staff and technology help shield businesses from cyberattacks.
 Perform Cyber Kill Chain and MITRE ATT&CK analysis on incoming security…","Posted
Posted 11 days ago",
Vulnerability Management Analyst,TikTok,"Hybrid remote in San Jose, CA",,"$80,000 - $100,000 a year",Full-time,"Bachelor’s Degree or industry equivalent work experience in vulnerability management in a security program.
 Log and track discovered vulnerabilities.","Posted
Posted 30+ days ago",
Security Analyst,Brooksource,"Hybrid remote in Lansing, MI 48917",,$24 - $25 an hour,Full-time,Creates security procedures to ensure adequate security procedures have been developed to identify and classify cyber events.,"Employer
Active 7 days ago",Job satisfaction
"Security Operations Center (SOC) Analyst, Tier 1 (Eastern US)",Cybereason,Remote,,Estimated $76.6K - $96.9K a year,Full-time,"1-3+ years of relevant cybersecurity experience with a strong knowledge working in security operations.
 Being the point of escalation and performing security…","Posted
Posted 11 days ago",
Cyber Security Specialist,Acacia Network,"Hybrid remote in Bronx, NY 10457",,"$100,000 - $110,000 a year",Full-time,"Oversee and monitor routine security administration.
 Proven experience in network and/or systems security.
 Respond immediately to security incidents and provide…","Employer
Active 5 days ago",Maternity leave satisfaction
Cybersecurity Employment Opportunities,Veridify Security,"San Jose, CA 95113 
(Downtown area)",,Estimated $88.4K - $112K a year,Full-time,"In order to build our relationships, we meet with coworkers in person at least once a year at a full company meeting.","Posted
Posted 30+ days ago",
Cyber Security Analyst,Santa Clara Valley Transportation Authority,"San Jose, CA 95134 
(North San Jose area)",,"$99,903 - $131,872 a year",Full-time,"Provides training to VTA employees on cyber security awareness and data security procedures;
 Current cyber security technology tools and countermeasures;","Posted
Posted 30+ days ago",
Director of Information Security #517469,San Francisco State University,"Hybrid remote in San Francisco, CA 94132",,Estimated $135K - $171K a year,Full-time,"Experience with cyber security frameworks such as ISO 27000, NIST 800.
 A working knowledge of information security practices and concepts including: access…","Employer
Active 4 days ago",Good management
Information Security Analyst,Network Coverage,Remote,,"$55,000 - $80,000 a year",Full-time,"Maintain up-to-date detailed knowledge of the IT security industry including awareness of new or revised security solutions, improved security processes, and…","Employer
Active 4 days ago",Easy to request PTO
Adjunct – Information Systems Technology -Cybersecurity,Columbus State Community College,"Columbus, OH 43215 
(Downtown area)",,$54.48 an hour,Full-time,The Adjunct – Information Systems Technology – Cybersecurity position provides quality instruction and maintains a positive learning environment in the…,"Posted
Posted 30+ days ago",Good work-life balance
"IT and Operational Risk Management, Assoc. Dir.",FHLBank San Francisco,"San Francisco, CA 94104 
(Financial District/South Beach area)",,"$155,000 - $175,000 a year",Full-time,"Additionally, the role will ensure that key ERM, ORM and ITRM processes including identification, assessment, monitoring, management, and reporting of risks…","Posted
Posted 30+ days ago",Fair pay
Product Security Lead,Cox Communications,"Atlanta, GA",,"$105,700 - $176,100 a year",Full-time,"Bringing together product development teams and cyber security to achieve a high level of cyber security quality.
 USD 105,700.00 - 176,100.00 per year.","Posted
Posted 30+ days ago",Good compensation and benefits
Cyber Security Engineer-must have Splunk & Phantom,Donnelly & Moore Corporation,"Hybrid remote in New York, NY 10003",,$75 - $80 an hour,Full-time,"3-5 years Strong understanding of cyber security principles.
 Knowledge of security tools, python, scripting is preferred.
 2 years Threat Management, preferred.","Posted
Posted 5 days ago",
Information Security Analyst,PayPal,Remote in Arizona,,Estimated $90.3K - $114K a year,Full-time,"Advanced understanding of tools and processes used in security incident detection and handling, security threats, incident response, and security monitoring…","Posted
Posted 11 days ago",
Intermediate Information Security Analyst,"Data Systems Analysts, Inc.","Remote in Washington, DC 20015",,"$75,000 - $90,000 a year",Full-time,"Working closely with senior agency security officials, system owners, information system security officers (ISSOs) and other stakeholders to advise and…","Posted
Posted 30+ days ago",Good compensation and benefits
"2025322 Cyber Security SME $215,000.00",B4CORP,"Herndon, VA",,"Up to $2,000 a week",Full-time,"Cloud security controls and implementation.
 Self-starter able to work independently and build relationships with technical reps across divisions, comfortable…","Posted
Posted 30 days ago",Supportive management
Linux Administrator - ACAS,CACI,"Springfield, VA 22150",,,Full-time,"Minimum Clearance Required to Start: TS/SCI with Polygraph.
 Percentage of Travel Required: Up to 10%.
 Provide all preventative and corrective maintenance to…","Posted
Posted 30+ days ago",Good compensation and benefits
Cloud Security Architect,Idea Evolver,Remote,,"$120,000 - $160,000 a year",Full-time,"Oversee internal security team and company security posture.
 Conduct architecture reviews and white box security testing to assess and validate application…","Employer
Active 4 days ago",
IT Audit SOC - Senior Auditor,Plante Moran,"Hybrid remote in Chicago, IL",,"$6,917 - $10,875 a month",Full-time,Participate in service organization control (SOC) assessments for companies in a variety of industries using commonly implemented frameworks which evaluate the…,"Posted
Posted 30+ days ago",Salary meets cost of living
IT Security Engineer,CR&R Inc,"Stanton, CA 90680",,"From $125,000 a year",Full-time,"He/She will devise and manage a security roadmap that maintains and strengthens the company's security posture.
 Maintenance of MS Intune and Cortex XDR.","Employer
Active 4 days ago",
IT Cyber Security Specialist,"Esolvit Inc.,","Woburn, MA 01801",,"$90,000 - $93,000 a year",Full-time,"Maintain security logs for each system.
 Troubleshoot security issues as they arise.
 3-5 years of experience in security.
 Job Types: Full-time, Contract.","Posted
Posted 20 days ago",Job satisfaction
Special Agent: Cybersecurity/Technology Background,Federal Bureau of Investigation,"San Diego, CA",,"$78,000 - $153,000 a year",Full-time,"You will be prompted to either Sign In to continue or to register with FBIJobs if you don’t already have an account.
 Adhere to strict standards of conduct.","Posted
Posted 2 days ago",
Cyber Security Instructor (virtual),Cyber Arts Camp,Remote,,$60 - $90 an hour,Full-time,"Job Types: Part-time, Contract.","Employer
Active 4 days ago",
Information Technology CyberSecurity Specialist,U.S. Department of State,"Hybrid remote in Washington, DC 20520",,"$94,199 - $122,459 a year",Full-time,"Experience identifying cyber security programmatic problems, trends and weaknesses and recommending solutions to reduce program vulnerabilities.","Posted
Posted 4 days ago",
Vulnerability Management Analyst,TikTok,"Hybrid remote in San Jose, CA",,"$80,000 - $100,000 a year",Full-time,"Bachelor’s Degree or industry equivalent work experience in vulnerability management in a security program.
 Log and track discovered vulnerabilities.","Posted
Posted 30+ days ago",
Security Analyst,Brooksource,"Hybrid remote in Lansing, MI 48917",,$24 - $25 an hour,Full-time,Creates security procedures to ensure adequate security procedures have been developed to identify and classify cyber events.,"Employer
Active 7 days ago",Job satisfaction
Cyber Security Specialist,Acacia Network,"Hybrid remote in Bronx, NY 10457",,"$100,000 - $110,000 a year",Full-time,"Oversee and monitor routine security administration.
 Proven experience in network and/or systems security.
 Respond immediately to security incidents and provide…","Employer
Active 5 days ago",Maternity leave satisfaction
Director of Information Security #517469,San Francisco State University,"Hybrid remote in San Francisco, CA 94132",,Estimated $135K - $171K a year,Full-time,"Experience with cyber security frameworks such as ISO 27000, NIST 800.
 A working knowledge of information security practices and concepts including: access…","Employer
Active 4 days ago",Good management
"IT and Operational Risk Management, Assoc. Dir.",FHLBank San Francisco,"San Francisco, CA 94104 
(Financial District/South Beach area)",,"$155,000 - $175,000 a year",Full-time,"Additionally, the role will ensure that key ERM, ORM and ITRM processes including identification, assessment, monitoring, management, and reporting of risks…","Posted
Posted 30+ days ago",Fair pay
Adjunct – Information Systems Technology -Cybersecurity,Columbus State Community College,"Columbus, OH 43215 
(Downtown area)",,$54.48 an hour,Full-time,The Adjunct – Information Systems Technology – Cybersecurity position provides quality instruction and maintains a positive learning environment in the…,"Posted
Posted 30+ days ago",Good work-life balance
Cyber Security Engineer-must have Splunk & Phantom,Donnelly & Moore Corporation,"Hybrid remote in New York, NY 10003",,$75 - $80 an hour,Full-time,"3-5 years Strong understanding of cyber security principles.
 Knowledge of security tools, python, scripting is preferred.
 2 years Threat Management, preferred.","Posted
Posted 5 days ago",
Product Security Lead,Cox Communications,"Atlanta, GA",,"$105,700 - $176,100 a year",Temporary,"Bringing together product development teams and cyber security to achieve a high level of cyber security quality.
 USD 105,700.00 - 176,100.00 per year.","Posted
Posted 30+ days ago",Good compensation and benefits
Information Security Analyst,PayPal,Remote in Arizona,,Estimated $90.3K - $114K a year,Full-time,"Advanced understanding of tools and processes used in security incident detection and handling, security threats, incident response, and security monitoring…","Posted
Posted 11 days ago",
Intermediate Information Security Analyst,"Data Systems Analysts, Inc.","Remote in Washington, DC 20015",,"$75,000 - $90,000 a year",Full-time,"Working closely with senior agency security officials, system owners, information system security officers (ISSOs) and other stakeholders to advise and…","Posted
Posted 30+ days ago",Good compensation and benefits
"2025322 Cyber Security SME $215,000.00",B4CORP,"Herndon, VA",,"Up to $2,000 a week",Temporary,"Cloud security controls and implementation.
 Self-starter able to work independently and build relationships with technical reps across divisions, comfortable…","Posted
Posted 30 days ago",Supportive management
Linux Administrator - ACAS,CACI,"Springfield, VA 22150",,,Full-time,"Minimum Clearance Required to Start: TS/SCI with Polygraph.
 Percentage of Travel Required: Up to 10%.
 Provide all preventative and corrective maintenance to…","Posted
Posted 30+ days ago",Good compensation and benefits
Vulnerability Management Analyst,TikTok,"Hybrid remote in San Jose, CA",,"$80,000 - $100,000 a year",Full-time,"Bachelor’s Degree or industry equivalent work experience in vulnerability management in a security program.
 Log and track discovered vulnerabilities.","Posted
Posted 30+ days ago",
Special Agent: Cybersecurity/Technology Background,Federal Bureau of Investigation,"San Diego, CA",,"$78,000 - $153,000 a year",Temporary,"You will be prompted to either Sign In to continue or to register with FBIJobs if you don’t already have an account.
 Adhere to strict standards of conduct.","Posted
Posted 2 days ago",
Information Security Analyst,Network Coverage,Remote,,"$55,000 - $80,000 a year",Full-time,"Maintain up-to-date detailed knowledge of the IT security industry including awareness of new or revised security solutions, improved security processes, and…","Employer
Active 4 days ago",Easy to request PTO
IT Security Engineer,CR&R Inc,"Stanton, CA 90680",,"From $125,000 a year",Full-time,"He/She will devise and manage a security roadmap that maintains and strengthens the company's security posture.
 Maintenance of MS Intune and Cortex XDR.","Employer
Active 4 days ago",
Information Security Engineer,PayPal,Remote in Hawaii,,"$60,900 - $147,400 a year",Full-time,The Cloud Infrastructure Operations team is the main responsible on maintaining an acceptable security posture across all our cloud environments’ infrastructure…,"Posted
Posted 27 days ago",
IT Audit SOC - Senior Auditor,Plante Moran,"Hybrid remote in Chicago, IL",,"$6,917 - $10,875 a month",Full-time,Participate in service organization control (SOC) assessments for companies in a variety of industries using commonly implemented frameworks which evaluate the…,"Posted
Posted 30+ days ago",Salary meets cost of living
Information Technology CyberSecurity Specialist,U.S. Department of State,"Hybrid remote in Washington, DC 20520",,"$94,199 - $122,459 a year",Full-time,"Experience identifying cyber security programmatic problems, trends and weaknesses and recommending solutions to reduce program vulnerabilities.","Posted
Posted 4 days ago",
Cyber Security Specialist,Acacia Network,"Hybrid remote in Bronx, NY 10457",,"$100,000 - $110,000 a year",Full-time,"Oversee and monitor routine security administration.
 Proven experience in network and/or systems security.
 Respond immediately to security incidents and provide…","Employer
Active 5 days ago",Maternity leave satisfaction
IT Cyber Security Specialist,"Esolvit Inc.,","Woburn, MA 01801",,"$90,000 - $93,000 a year",Full-time,"Maintain security logs for each system.
 Troubleshoot security issues as they arise.
 3-5 years of experience in security.
 Job Types: Full-time, Contract.","Posted
Posted 20 days ago",Job satisfaction
Synack Red Team Member,Synack SRT,"Remote in Washington, DC",,Estimated $106K - $135K a year,Full-time,"SRT members work when they want, where they want-remotely and either part time or full time.
 Applicants must be able to pass an ID and background check to join…","Posted
Posted 30+ days ago",
Security Analyst,Brooksource,"Hybrid remote in Lansing, MI 48917",,$24 - $25 an hour,Full-time,Creates security procedures to ensure adequate security procedures have been developed to identify and classify cyber events.,"Employer
Active 7 days ago",Job satisfaction
Cyber Security Instructor (virtual),Cyber Arts Camp,Remote,,$60 - $90 an hour,Full-time,"Job Types: Part-time, Contract.","Employer
Active 4 days ago",
Cloud Security Architect,Idea Evolver,Remote,,"$120,000 - $160,000 a year",Full-time,"Oversee internal security team and company security posture.
 Conduct architecture reviews and white box security testing to assess and validate application…","Employer
Active 4 days ago",
Digital Forensics Analyst,Technology Concepts & Design (TCDI),"Remote in Cleveland, OH",,Estimated $87.6K - $111K a year,Full-time,"This position will be responsible for preserving and analyzing data from various sources, including laptops / desktops, servers, cell phones, cloud-based…","Posted
Posted 30+ days ago",
Director of Information Security #517469,San Francisco State University,"Hybrid remote in San Francisco, CA 94132",,Estimated $135K - $171K a year,Full-time,"Experience with cyber security frameworks such as ISO 27000, NIST 800.
 A working knowledge of information security practices and concepts including: access…","Employer
Active 4 days ago",Good management
"IT and Operational Risk Management, Assoc. Dir.",FHLBank San Francisco,"San Francisco, CA 94104 
(Financial District/South Beach area)",,"$155,000 - $175,000 a year",Full-time,"Additionally, the role will ensure that key ERM, ORM and ITRM processes including identification, assessment, monitoring, management, and reporting of risks…","Posted
Posted 30+ days ago",Fair pay
Adjunct – Information Systems Technology -Cybersecurity,Columbus State Community College,"Columbus, OH 43215 
(Downtown area)",,$54.48 an hour,Full-time,The Adjunct – Information Systems Technology – Cybersecurity position provides quality instruction and maintains a positive learning environment in the…,"Posted
Posted 30+ days ago",Good work-life balance
Cyber Security Engineer-must have Splunk & Phantom,Donnelly & Moore Corporation,"Hybrid remote in New York, NY 10003",,$75 - $80 an hour,Full-time,"3-5 years Strong understanding of cyber security principles.
 Knowledge of security tools, python, scripting is preferred.
 2 years Threat Management, preferred.","Posted
Posted 5 days ago",
Product Security Lead,Cox Communications,"Atlanta, GA",,"$105,700 - $176,100 a year",Full-time,"Bringing together product development teams and cyber security to achieve a high level of cyber security quality.
 USD 105,700.00 - 176,100.00 per year.","Posted
Posted 30+ days ago",Good compensation and benefits
Information Security Analyst,PayPal,Remote in Arizona,,Estimated $90.3K - $114K a year,Full-time,"Advanced understanding of tools and processes used in security incident detection and handling, security threats, incident response, and security monitoring…","Posted
Posted 11 days ago",
Intermediate Information Security Analyst,"Data Systems Analysts, Inc.","Remote in Washington, DC 20015",,"$75,000 - $90,000 a year",Full-time,"Working closely with senior agency security officials, system owners, information system security officers (ISSOs) and other stakeholders to advise and…","Posted
Posted 30+ days ago",Good compensation and benefits
"2025322 Cyber Security SME $215,000.00",B4CORP,"Herndon, VA",,"Up to $2,000 a week",Full-time,"Cloud security controls and implementation.
 Self-starter able to work independently and build relationships with technical reps across divisions, comfortable…","Posted
Posted 30 days ago",Supportive management
Linux Administrator - ACAS,CACI,"Springfield, VA 22150",,,Full-time,"Minimum Clearance Required to Start: TS/SCI with Polygraph.
 Percentage of Travel Required: Up to 10%.
 Provide all preventative and corrective maintenance to…","Posted
Posted 30+ days ago",Good compensation and benefits
Vulnerability Management Analyst,TikTok,"Hybrid remote in San Jose, CA",,"$80,000 - $100,000 a year",Full-time,"Bachelor’s Degree or industry equivalent work experience in vulnerability management in a security program.
 Log and track discovered vulnerabilities.","Posted
Posted 30+ days ago",
Special Agent: Cybersecurity/Technology Background,Federal Bureau of Investigation,"San Diego, CA",,"$78,000 - $153,000 a year",Full-time,"You will be prompted to either Sign In to continue or to register with FBIJobs if you don’t already have an account.
 Adhere to strict standards of conduct.","Posted
Posted 2 days ago",
Information Security Analyst,Network Coverage,Remote,,"$55,000 - $80,000 a year",Full-time,"Maintain up-to-date detailed knowledge of the IT security industry including awareness of new or revised security solutions, improved security processes, and…","Employer
Active 4 days ago",Easy to request PTO
IT Security Engineer,CR&R Inc,"Stanton, CA 90680",,"From $125,000 a year",Full-time,"He/She will devise and manage a security roadmap that maintains and strengthens the company's security posture.
 Maintenance of MS Intune and Cortex XDR.","Employer
Active 4 days ago",
Information Security Engineer,PayPal,Remote in Hawaii,,"$60,900 - $147,400 a year",Full-time,The Cloud Infrastructure Operations team is the main responsible on maintaining an acceptable security posture across all our cloud environments’ infrastructure…,"Posted
Posted 27 days ago",
IT Audit SOC - Senior Auditor,Plante Moran,"Hybrid remote in Chicago, IL",,"$6,917 - $10,875 a month",Temporary,Participate in service organization control (SOC) assessments for companies in a variety of industries using commonly implemented frameworks which evaluate the…,"Posted
Posted 30+ days ago",Salary meets cost of living
Information Technology CyberSecurity Specialist,U.S. Department of State,"Hybrid remote in Washington, DC 20520",,"$94,199 - $122,459 a year",Full-time,"Experience identifying cyber security programmatic problems, trends and weaknesses and recommending solutions to reduce program vulnerabilities.","Posted
Posted 4 days ago",
Cyber Security Specialist,Acacia Network,"Hybrid remote in Bronx, NY 10457",,"$100,000 - $110,000 a year",Full-time,"Oversee and monitor routine security administration.
 Proven experience in network and/or systems security.
 Respond immediately to security incidents and provide…","Employer
Active 5 days ago",Maternity leave satisfaction
IT Cyber Security Specialist,"Esolvit Inc.,","Woburn, MA 01801",,"$90,000 - $93,000 a year",Full-time,"Maintain security logs for each system.
 Troubleshoot security issues as they arise.
 3-5 years of experience in security.
 Job Types: Full-time, Contract.","Posted
Posted 20 days ago",Job satisfaction
Security Analyst,Brooksource,"Hybrid remote in Lansing, MI 48917",,$24 - $25 an hour,Temporary,Creates security procedures to ensure adequate security procedures have been developed to identify and classify cyber events.,"Employer
Active 7 days ago",Job satisfaction
Cyber Security Instructor (virtual),Cyber Arts Camp,Remote,,$60 - $90 an hour,Full-time,"Job Types: Part-time, Contract.","Employer
Active 4 days ago",
Cloud Security Architect,Idea Evolver,Remote,,"$120,000 - $160,000 a year",Full-time,"Oversee internal security team and company security posture.
 Conduct architecture reviews and white box security testing to assess and validate application…","Employer
Active 4 days ago",
Digital Forensics Analyst,Technology Concepts & Design (TCDI),"Remote in Cleveland, OH",,Estimated $87.6K - $111K a year,Full-time,"This position will be responsible for preserving and analyzing data from various sources, including laptops / desktops, servers, cell phones, cloud-based…","Posted
Posted 30+ days ago",
Director of Information Security #517469,San Francisco State University,"Hybrid remote in San Francisco, CA 94132",,Estimated $135K - $171K a year,Temporary,"Experience with cyber security frameworks such as ISO 27000, NIST 800.
 A working knowledge of information security practices and concepts including: access…","Employer
Active 4 days ago",Good management
"IT and Operational Risk Management, Assoc. Dir.",FHLBank San Francisco,"San Francisco, CA 94104 
(Financial District/South Beach area)",,"$155,000 - $175,000 a year",Full-time,"Additionally, the role will ensure that key ERM, ORM and ITRM processes including identification, assessment, monitoring, management, and reporting of risks…","Posted
Posted 30+ days ago",Fair pay
Adjunct – Information Systems Technology -Cybersecurity,Columbus State Community College,"Columbus, OH 43215 
(Downtown area)",,$54.48 an hour,Full-time,The Adjunct – Information Systems Technology – Cybersecurity position provides quality instruction and maintains a positive learning environment in the…,"Posted
Posted 30+ days ago",Good work-life balance
Cyber Security Engineer-must have Splunk & Phantom,Donnelly & Moore Corporation,"Hybrid remote in New York, NY 10003",,$75 - $80 an hour,Full-time,"3-5 years Strong understanding of cyber security principles.
 Knowledge of security tools, python, scripting is preferred.
 2 years Threat Management, preferred.","Posted
Posted 5 days ago",
Product Security Lead,Cox Communications,"Atlanta, GA",,"$105,700 - $176,100 a year",Full-time,"Bringing together product development teams and cyber security to achieve a high level of cyber security quality.
 USD 105,700.00 - 176,100.00 per year.","Posted
Posted 30+ days ago",Good compensation and benefits
Information Security Analyst,PayPal,Remote in Arizona,,Estimated $90.3K - $114K a year,Temporary,"Advanced understanding of tools and processes used in security incident detection and handling, security threats, incident response, and security monitoring…","Posted
Posted 11 days ago",
Intermediate Information Security Analyst,"Data Systems Analysts, Inc.","Remote in Washington, DC 20015",,"$75,000 - $90,000 a year",Full-time,"Working closely with senior agency security officials, system owners, information system security officers (ISSOs) and other stakeholders to advise and…","Posted
Posted 30+ days ago",Good compensation and benefits
"2025322 Cyber Security SME $215,000.00",B4CORP,"Herndon, VA",,"Up to $2,000 a week",Full-time,"Cloud security controls and implementation.
 Self-starter able to work independently and build relationships with technical reps across divisions, comfortable…","Posted
Posted 30 days ago",Supportive management
Linux Administrator - ACAS,CACI,"Springfield, VA 22150",,,Full-time,"Minimum Clearance Required to Start: TS/SCI with Polygraph.
 Percentage of Travel Required: Up to 10%.
 Provide all preventative and corrective maintenance to…","Posted
Posted 30+ days ago",Good compensation and benefits
Vulnerability Management Analyst,TikTok,"Hybrid remote in San Jose, CA",,"$80,000 - $100,000 a year",Temporary,"Bachelor’s Degree or industry equivalent work experience in vulnerability management in a security program.
 Log and track discovered vulnerabilities.","Posted
Posted 30+ days ago",
Special Agent: Cybersecurity/Technology Background,Federal Bureau of Investigation,"San Diego, CA",,"$78,000 - $153,000 a year",Full-time,"You will be prompted to either Sign In to continue or to register with FBIJobs if you don’t already have an account.
 Adhere to strict standards of conduct.","Posted
Posted 2 days ago",
Information Security Analyst,Network Coverage,Remote,,"$55,000 - $80,000 a year",Full-time,"Maintain up-to-date detailed knowledge of the IT security industry including awareness of new or revised security solutions, improved security processes, and…","Employer
Active 4 days ago",Easy to request PTO
IT Security Engineer,CR&R Inc,"Stanton, CA 90680",,"From $125,000 a year",Full-time,"He/She will devise and manage a security roadmap that maintains and strengthens the company's security posture.
 Maintenance of MS Intune and Cortex XDR.","Employer
Active 4 days ago",
Information Security Engineer,PayPal,Remote in Hawaii,,"$60,900 - $147,400 a year",Full-time,The Cloud Infrastructure Operations team is the main responsible on maintaining an acceptable security posture across all our cloud environments’ infrastructure…,"Posted
Posted 27 days ago",
IT Audit SOC - Senior Auditor,Plante Moran,"Hybrid remote in Chicago, IL",,"$6,917 - $10,875 a month",Temporary,Participate in service organization control (SOC) assessments for companies in a variety of industries using commonly implemented frameworks which evaluate the…,"Posted
Posted 30+ days ago",Salary meets cost of living
Information Technology CyberSecurity Specialist,U.S. Department of State,"Hybrid remote in Washington, DC 20520",,"$94,199 - $122,459 a year",Full-time,"Experience identifying cyber security programmatic problems, trends and weaknesses and recommending solutions to reduce program vulnerabilities.","Posted
Posted 4 days ago",
Cyber Security Specialist,Acacia Network,"Hybrid remote in Bronx, NY 10457",,"$100,000 - $110,000 a year",Full-time,"Oversee and monitor routine security administration.
 Proven experience in network and/or systems security.
 Respond immediately to security incidents and provide…","Employer
Active 5 days ago",Maternity leave satisfaction
IT Cyber Security Specialist,"Esolvit Inc.,","Woburn, MA 01801",,"$90,000 - $93,000 a year",Temporary,"Maintain security logs for each system.
 Troubleshoot security issues as they arise.
 3-5 years of experience in security.
 Job Types: Full-time, Contract.","Posted
Posted 20 days ago",Job satisfaction
