Title,City,State,Minimum,Maximum,Apply By
Public Notice for Computer Scientist - Cybersecurity (Direct Hire) - 689240500,Washington,District of Columbia,57442,155403,11/13/2023
Public Notice for Information Technology Cybersecurity Specialist (Direct Hire) - 689241200,Washington,District of Columbia,47813,155403,11/13/2023
General Engineer - (Direct Hire) - Remote Work Eligible - BIL - 691028600,Washington,District of Columbia,66214,144976,11/28/2023
Information Technology Specialist (CUSTSPT) - 699616800,Washington,District of Columbia,40082,77112,12/29/2023
IT Project Manager - 700116700,Fort McNair,District of Columbia,84546,109908,12/29/2023
IT Project Manager - 700116700,Washington,District of Columbia,84546,109908,12/29/2023
IT Specialist - 699137000,Washington,District of Columbia,71099,92429,12/29/2023
IT Specialist - 699796500,Fort McNair,District of Columbia,99908,129878,12/29/2023
IT Specialist - 699796500,Washington,District of Columbia,99908,129878,12/29/2023
IT Specialist (Customer Support) - 699327500,Washington,District of Columbia,40082,77112,12/29/2023
IT Specialist (INFO SEC) - 699833500,District of Columbia,District of Columbia,59319,77112,12/29/2023
IT Specialist (INFO SEC) - 699833500,Washington,District of Columbia,59319,77112,12/29/2023
Information Technology (Cybersecurity) - 700070400,Fort McNair,District of Columbia,82830,183500,12/31/2023
Information Technology (Cybersecurity) - 700070400,Washington,District of Columbia,82830,183500,12/31/2023
Information Technology (Cybersecurity) - 700075400,Washington,District of Columbia,82830,183500,12/31/2023
Information Technology (Cybersecurity) - 700075400,Washington,District of Columbia,82830,183500,12/31/2023
Public Notice for Direct Hire - Cybersecurity - 701693200,Fort McNair,District of Columbia,82830,177978,1/23/2024
Public Notice for Direct Hire - Cybersecurity - 701693200,Washington,District of Columbia,82830,177978,1/23/2024
Public Notice for IT Cybersecurity Specialists - 701692900,Fort McNair,District of Columbia,82830,177978,1/23/2024
Public Notice for IT Cybersecurity Specialists - 701692900,Washington,District of Columbia,82830,177978,1/23/2024
IT Specialist (Cybersecurity) - Direct Hire - 701999600,Washington,District of Columbia,155700,183500,1/24/2024
Special Agent - Accounting/Finance Background - 702262100,Washington,District of Columbia,73916,95380,1/24/2024
Special Agent - Cybersecurity/Technology Background - 702223800,Washington,District of Columbia,73916,95380,1/24/2024
IT Specialist (Info Sec) - DIRECT HIRE - P - 702900400,Washington,District of Columbia,94199,183500,1/26/2024
Management and Program Analyst (12 Month Roster) - 719620800,Washington DC,District of Columbia,116393,183500,1/29/2024
Management and Program Analyst (12 Month Roster) - 719620800,Washington DC,District of Columbia,116393,183500,1/29/2024
Management and Program Analyst (12 Month Roster) - 719620800,Washington,District of Columbia,116393,183500,1/29/2024
Management and Program Analyst 12 Month Register - 722945500,Washington DC,District of Columbia,116393,183500,1/31/2024
Management and Program Analyst 12 Month Register - 722945500,Washington DC,District of Columbia,116393,183500,1/31/2024
Supervisory IT Specialist (Cybersecurity) - DIRECT HIRE - 704419100,Washington,District of Columbia,155700,183500,2/2/2024
Management and Program Analyst (12 MONTH REGISTER) - 721940900,Washington DC,District of Columbia,98496,158432,2/9/2024
Management and Program Analyst (12 MONTH REGISTER) - 721940900,Washington DC,District of Columbia,98496,158432,2/9/2024
Management and Program Analyst (12-Month Roster) - 724452300,Washington DC,District of Columbia,98496,158432,2/9/2024
Management and Program Analyst (12-Month Roster) - 724452300,Washington DC,District of Columbia,98496,158432,2/9/2024
Management and Program Analyst 12-MONTH ROSTER - 723421600,Washington DC,District of Columbia,98496,158432,2/16/2024
Management and Program Analyst 12-MONTH ROSTER - 723421600,Washington DC,District of Columbia,98496,158432,2/16/2024
IT Cybersecurity - DIRECT HIRE - 709480200,Washington,District of Columbia,112015,172075,2/28/2024
Public Notice for Individuals With Disabilities and Individuals with Targeted Disabilities - 721195600,Fort McNair,District of Columbia,32357,152771,4/5/2024
Public Notice for Individuals With Disabilities and Individuals with Targeted Disabilities - 721195600,Washington,District of Columbia,32357,152771,4/5/2024
Supervisory Information Technology Specialist (Security) - 727096400,Washington,District of Columbia,94199,176555,5/21/2024
Student Volunteer - 727822900,Fort McNair,District of Columbia,0,0,5/24/2024
Student Volunteer - 727822900,Washington,District of Columbia,0,0,5/24/2024
